YEAR,NAME,DESCRIPTION,WEBSITE,LAT,LONG

1986,Chernobyl Disaster,"The April 1986 disaster at the Chernobyl nuclear power plant in Ukraine was the product of a flawed Soviet reactor design coupled with serious mistakes made by the plant operators. It was a direct consequence of Cold War isolation and the resulting lack of any safety culture.",http://en.wikipedia.org/wiki/Chernobyl_disaster,51.389122,30.104233
2011,Fukushima Daiichi Nuclear Disaster,"The Fukushima Daiichi nuclear event was an accident at the Fukushima Nuclear Power Plant, triggered by a tsunami causing equipment and power failures.",http://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster,37.4000,140.4667
